ID,Name,Status,Has_Member
Category-2,7PK - Environment,Draft,CWE-11;CWE-12;CWE-13;CWE-14;CWE-5;CWE-6;CWE-7;CWE-8;CWE-9
Category-16,Configuration,Obsolete,
Category-19,Data Processing Errors,Draft,CWE-130;CWE-166;CWE-167;CWE-168;CWE-178;CWE-182;CWE-186;CWE-229;CWE-233;CWE-237;CWE-241;CWE-409;CWE-472;CWE-601;CWE-611;CWE-624;CWE-625;CWE-776;CWE-1024
Category-133,String Errors,Draft,CWE-134;CWE-135;CWE-480
Category-136,Type Errors,Draft,CWE-681;CWE-843;CWE-1287
Category-137,Data Neutralization Issues,Draft,CWE-76;CWE-78;CWE-79;CWE-88;CWE-89;CWE-90;CWE-91;CWE-93;CWE-94;CWE-117;CWE-140;CWE-170;CWE-463;CWE-464;CWE-641;CWE-694;CWE-791;CWE-838;CWE-917;CWE-1236
Category-189,Numeric Errors,Draft,CWE-128;CWE-190;CWE-191;CWE-193;CWE-369;CWE-681;CWE-839;CWE-1335;CWE-1339;CWE-1389
Category-199,Information Management Errors,Draft,CWE-201;CWE-204;CWE-205;CWE-208;CWE-209;CWE-212;CWE-213;CWE-214;CWE-215;CWE-312;CWE-319;CWE-359;CWE-497;CWE-524;CWE-538;CWE-921;CWE-1230
Category-227,7PK - API Abuse,Draft,CWE-242;CWE-243;CWE-244;CWE-245;CWE-246;CWE-248;CWE-250;CWE-251;CWE-252;CWE-558
Category-251,Often Misused: String Management,Incomplete,
Category-254,7PK - Security Features,Incomplete,CWE-256;CWE-258;CWE-259;CWE-260;CWE-261;CWE-272;CWE-284;CWE-285;CWE-330;CWE-359;CWE-798
Category-255,Credentials Management Errors,Draft,CWE-256;CWE-257;CWE-260;CWE-261;CWE-262;CWE-263;CWE-324;CWE-521;CWE-523;CWE-549;CWE-620;CWE-640;CWE-798;CWE-916;CWE-1392
Category-264,"Permissions, Privileges, and Access Controls",Obsolete,
Category-265,Privilege Issues,Incomplete,CWE-243;CWE-250;CWE-266;CWE-267;CWE-268;CWE-270;CWE-272;CWE-273;CWE-274;CWE-280;CWE-501;CWE-580;CWE-648
Category-275,Permission Issues,Draft,CWE-276;CWE-277;CWE-278;CWE-279;CWE-280;CWE-281;CWE-618;CWE-766;CWE-767
Category-310,Cryptographic Issues,Draft,CWE-261;CWE-324;CWE-325;CWE-328;CWE-331;CWE-334;CWE-335;CWE-338;CWE-347;CWE-916;CWE-1204;CWE-1240
Category-320,Key Management Errors,Obsolete,CWE-322;CWE-323;CWE-324;CWE-798
Category-355,User Interface Security Issues,Draft,CWE-356;CWE-357;CWE-447;CWE-448;CWE-449;CWE-549;CWE-1007;CWE-1021
Category-361,7PK - Time and State,Incomplete,CWE-364;CWE-367;CWE-377;CWE-382;CWE-383;CWE-384;CWE-412
Category-371,State Issues,Draft,CWE-15;CWE-372;CWE-374;CWE-375;CWE-1265
Category-387,Signal Errors,Incomplete,CWE-364
Category-388,7PK - Errors,Draft,CWE-391;CWE-395;CWE-396;CWE-397
Category-389,"Error Conditions, Return Values, Status Codes",Incomplete,CWE-209;CWE-248;CWE-252;CWE-253;CWE-390;CWE-391;CWE-392;CWE-393;CWE-394;CWE-395;CWE-396;CWE-397;CWE-544;CWE-584;CWE-617;CWE-756
Category-398,7PK - Code Quality,Draft,CWE-401;CWE-404;CWE-415;CWE-416;CWE-457;CWE-474;CWE-475;CWE-476;CWE-477
Category-399,Resource Management Errors,Draft,CWE-73;CWE-403;CWE-410;CWE-470;CWE-502;CWE-619;CWE-641;CWE-694;CWE-763;CWE-770;CWE-771;CWE-772;CWE-826;CWE-908;CWE-909;CWE-910;CWE-911;CWE-914;CWE-915;CWE-920;CWE-1188;CWE-1341
Category-411,Resource Locking Problems,Draft,CWE-412;CWE-413;CWE-414;CWE-609;CWE-764;CWE-765;CWE-832;CWE-833
Category-417,Communication Channel Errors,Draft,CWE-322;CWE-346;CWE-385;CWE-419;CWE-420;CWE-425;CWE-515;CWE-918;CWE-924;CWE-940;CWE-941;CWE-1327
Category-429,Handler Errors,Draft,CWE-430;CWE-431;CWE-434
Category-438,Behavioral Problems,Draft,CWE-115;CWE-179;CWE-408;CWE-437;CWE-439;CWE-440;CWE-444;CWE-480;CWE-483;CWE-484;CWE-551;CWE-698;CWE-733;CWE-783;CWE-835;CWE-837;CWE-841;CWE-1025;CWE-1037
Category-452,Initialization and Cleanup Errors,Draft,CWE-212;CWE-454;CWE-455;CWE-459;CWE-1051;CWE-1052;CWE-1188
Category-465,Pointer Issues,Draft,CWE-466;CWE-468;CWE-469;CWE-476;CWE-587;CWE-763;CWE-822;CWE-823;CWE-824;CWE-825
Category-485,7PK - Encapsulation,Draft,CWE-486;CWE-488;CWE-489;CWE-491;CWE-492;CWE-493;CWE-495;CWE-496;CWE-497;CWE-501
Category-557,Concurrency Issues,Draft,CWE-364;CWE-366;CWE-367;CWE-368;CWE-386;CWE-421;CWE-663;CWE-820;CWE-821;CWE-1058;CWE-1322
Category-569,Expression Issues,Draft,CWE-480;CWE-570;CWE-571;CWE-783
Category-712,OWASP Top Ten 2007 Category A1 - Cross Site Scripting (XSS),Obsolete,CWE-79
Category-713,OWASP Top Ten 2007 Category A2 - Injection Flaws,Obsolete,CWE-77;CWE-89;CWE-90;CWE-91;CWE-93
Category-714,OWASP Top Ten 2007 Category A3 - Malicious File Execution,Obsolete,CWE-434;CWE-78;CWE-95;CWE-98
Category-715,OWASP Top Ten 2007 Category A4 - Insecure Direct Object Reference,Obsolete,CWE-22;CWE-472;CWE-639
Category-716,OWASP Top Ten 2007 Category A5 - Cross Site Request Forgery (CSRF),Obsolete,CWE-352
Category-717,OWASP Top Ten 2007 Category A6 - Information Leakage and Improper Error Handling,Obsolete,CWE-200;CWE-203;CWE-209;CWE-215
Category-718,OWASP Top Ten 2007 Category A7 - Broken Authentication and Session Management,Obsolete,CWE-287;CWE-301;CWE-522
Category-719,OWASP Top Ten 2007 Category A8 - Insecure Cryptographic Storage,Obsolete,CWE-311;CWE-321;CWE-325;CWE-326
Category-720,OWASP Top Ten 2007 Category A9 - Insecure Communications,Obsolete,CWE-311;CWE-321;CWE-325;CWE-326
Category-721,OWASP Top Ten 2007 Category A10 - Failure to Restrict URL Access,Obsolete,CWE-285;CWE-288;CWE-425
Category-722,OWASP Top Ten 2004 Category A1 - Unvalidated Input,Obsolete,CWE-102;CWE-103;CWE-104;CWE-106;CWE-109;CWE-120;CWE-166;CWE-167;CWE-179;CWE-180;CWE-181;CWE-182;CWE-183;CWE-20;CWE-425;CWE-472;CWE-601;CWE-602;CWE-77;CWE-79;CWE-89
Category-723,OWASP Top Ten 2004 Category A2 - Broken Access Control,Obsolete,CWE-22;CWE-266;CWE-268;CWE-275;CWE-283;CWE-284;CWE-285;CWE-330;CWE-41;CWE-425;CWE-525;CWE-551;CWE-556;CWE-639;CWE-708;CWE-73;CWE-9
Category-724,OWASP Top Ten 2004 Category A3 - Broken Authentication and Session Management,Obsolete,CWE-255;CWE-259;CWE-287;CWE-296;CWE-298;CWE-302;CWE-304;CWE-307;CWE-309;CWE-345;CWE-384;CWE-521;CWE-522;CWE-525;CWE-613;CWE-620;CWE-640;CWE-798
Category-725,OWASP Top Ten 2004 Category A4 - Cross-Site Scripting (XSS) Flaws,Obsolete,CWE-644;CWE-79
Category-726,OWASP Top Ten 2004 Category A5 - Buffer Overflows,Obsolete,CWE-119;CWE-120;CWE-134
Category-727,OWASP Top Ten 2004 Category A6 - Injection Flaws,Obsolete,CWE-117;CWE-74;CWE-77;CWE-78;CWE-89;CWE-91;CWE-95;CWE-98
Category-728,OWASP Top Ten 2004 Category A7 - Improper Error Handling,Obsolete,CWE-203;CWE-209;CWE-228;CWE-252;CWE-389;CWE-390;CWE-391;CWE-394;CWE-636;CWE-7
Category-729,OWASP Top Ten 2004 Category A8 - Insecure Storage,Obsolete,CWE-14;CWE-226;CWE-261;CWE-311;CWE-321;CWE-326;CWE-327;CWE-539;CWE-591;CWE-598
Category-730,OWASP Top Ten 2004 Category A9 - Denial of Service,Obsolete,CWE-170;CWE-248;CWE-369;CWE-382;CWE-400;CWE-401;CWE-404;CWE-405;CWE-410;CWE-412;CWE-476;CWE-674
Category-731,OWASP Top Ten 2004 Category A10 - Insecure Configuration Management,Obsolete,CWE-209;CWE-215;CWE-219;CWE-275;CWE-295;CWE-5;CWE-555;CWE-6;CWE-7;CWE-8;CWE-9;CWE-459;CWE-489;CWE-11;CWE-12;CWE-13;CWE-520;CWE-554;CWE-556;CWE-526;CWE-527;CWE-528;CWE-529;CWE-530;CWE-531;CWE-532;CWE-540;CWE-541;CWE-548;CWE-552
Category-735,CERT C Secure Coding Standard (2008) Chapter 2 - Preprocessor (PRE),Obsolete,CWE-684
Category-736,CERT C Secure Coding Standard (2008) Chapter 3 - Declarations and Initialization (DCL),Obsolete,CWE-547;CWE-628;CWE-686
Category-737,CERT C Secure Coding Standard (2008) Chapter 4 - Expressions (EXP),Obsolete,CWE-467;CWE-468;CWE-476;CWE-628;CWE-704;CWE-783
Category-738,CERT C Secure Coding Standard (2008) Chapter 5 - Integers (INT),Obsolete,CWE-129;CWE-190;CWE-192;CWE-197;CWE-20;CWE-369;CWE-466;CWE-587;CWE-606;CWE-676;CWE-681;CWE-682
Category-739,CERT C Secure Coding Standard (2008) Chapter 6 - Floating Point (FLP),Obsolete,CWE-369;CWE-681;CWE-682;CWE-686
Category-740,CERT C Secure Coding Standard (2008) Chapter 7 - Arrays (ARR),Obsolete,CWE-119;CWE-129;CWE-467;CWE-469;CWE-665;CWE-805
Category-741,CERT C Secure Coding Standard (2008) Chapter 8 - Characters and Strings (STR),Obsolete,CWE-119;CWE-120;CWE-135;CWE-170;CWE-193;CWE-464;CWE-686;CWE-704;CWE-78;CWE-88
Category-742,CERT C Secure Coding Standard (2008) Chapter 9 - Memory Management (MEM),Obsolete,CWE-119;CWE-128;CWE-131;CWE-190;CWE-20;CWE-226;CWE-244;CWE-252;CWE-415;CWE-416;CWE-476;CWE-528;CWE-590;CWE-591;CWE-628;CWE-665;CWE-687;CWE-754
Category-743,CERT C Secure Coding Standard (2008) Chapter 10 - Input Output (FIO),Obsolete,CWE-119;CWE-134;CWE-22;CWE-241;CWE-276;CWE-279;CWE-362;CWE-367;CWE-37;CWE-379;CWE-38;CWE-39;CWE-391;CWE-403;CWE-404;CWE-41;CWE-552;CWE-59;CWE-62;CWE-64;CWE-65;CWE-67;CWE-675;CWE-676;CWE-686;CWE-732
Category-744,CERT C Secure Coding Standard (2008) Chapter 11 - Environment (ENV),Obsolete,CWE-119;CWE-426;CWE-462;CWE-705;CWE-78;CWE-88
Category-745,CERT C Secure Coding Standard (2008) Chapter 12 - Signals (SIG),Obsolete,CWE-479;CWE-662
Category-746,CERT C Secure Coding Standard (2008) Chapter 13 - Error Handling (ERR),Obsolete,CWE-20;CWE-391;CWE-544;CWE-676;CWE-705
Category-747,CERT C Secure Coding Standard (2008) Chapter 14 - Miscellaneous (MSC),Obsolete,CWE-14;CWE-176;CWE-20;CWE-330;CWE-480;CWE-482;CWE-561;CWE-563;CWE-570;CWE-571;CWE-697;CWE-704
Category-748,CERT C Secure Coding Standard (2008) Appendix - POSIX (POS),Obsolete,CWE-170;CWE-242;CWE-272;CWE-273;CWE-363;CWE-366;CWE-562;CWE-59;CWE-667;CWE-686;CWE-696
Category-751,2009 Top 25 - Insecure Interaction Between Components,Obsolete,CWE-116;CWE-20;CWE-209;CWE-319;CWE-352;CWE-362;CWE-78;CWE-79;CWE-89
Category-752,2009 Top 25 - Risky Resource Management,Obsolete,CWE-119;CWE-404;CWE-426;CWE-494;CWE-642;CWE-665;CWE-682;CWE-73;CWE-94
Category-753,2009 Top 25 - Porous Defenses,Obsolete,CWE-250;CWE-259;CWE-285;CWE-327;CWE-330;CWE-602;CWE-732;CWE-798
Category-801,2010 Top 25 - Insecure Interaction Between Components,Obsolete,CWE-209;CWE-352;CWE-362;CWE-434;CWE-601;CWE-78;CWE-79;CWE-89
Category-802,2010 Top 25 - Risky Resource Management,Obsolete,CWE-120;CWE-129;CWE-131;CWE-190;CWE-22;CWE-494;CWE-754;CWE-770;CWE-805;CWE-98
Category-803,2010 Top 25 - Porous Defenses,Obsolete,CWE-285;CWE-306;CWE-311;CWE-327;CWE-732;CWE-798;CWE-807
Category-808,2010 Top 25 - Weaknesses On the Cusp,Obsolete,CWE-134;CWE-212;CWE-307;CWE-330;CWE-416;CWE-426;CWE-454;CWE-456;CWE-476;CWE-59;CWE-672;CWE-681;CWE-749;CWE-772;CWE-799;CWE-804
Category-810,OWASP Top Ten 2010 Category A1 - Injection,Obsolete,CWE-78;CWE-88;CWE-89;CWE-90;CWE-91
Category-811,OWASP Top Ten 2010 Category A2 - Cross-Site Scripting (XSS),Obsolete,CWE-79
Category-812,OWASP Top Ten 2010 Category A3 - Broken Authentication and Session Management,Obsolete,CWE-287;CWE-306;CWE-307;CWE-798
Category-813,OWASP Top Ten 2010 Category A4 - Insecure Direct Object References,Obsolete,CWE-22;CWE-434;CWE-639;CWE-829;CWE-862;CWE-863;CWE-99
Category-814,OWASP Top Ten 2010 Category A5 - Cross-Site Request Forgery(CSRF),Obsolete,CWE-352
Category-815,OWASP Top Ten 2010 Category A6 - Security Misconfiguration,Obsolete,CWE-209;CWE-219;CWE-250;CWE-538;CWE-552;CWE-732
Category-816,OWASP Top Ten 2010 Category A7 - Insecure Cryptographic Storage,Obsolete,CWE-311;CWE-312;CWE-326;CWE-327;CWE-759
Category-817,OWASP Top Ten 2010 Category A8 - Failure to Restrict URL Access,Obsolete,CWE-285;CWE-862;CWE-863
Category-818,OWASP Top Ten 2010 Category A9 - Insufficient Transport Layer Protection,Obsolete,CWE-311;CWE-319
Category-819,OWASP Top Ten 2010 Category A10 - Unvalidated Redirects and Forwards,Obsolete,CWE-601
Category-840,Business Logic Errors,Incomplete,CWE-283;CWE-639;CWE-640;CWE-708;CWE-770;CWE-826;CWE-837;CWE-841
Category-845,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 2 - Input Validation and Data Sanitization (IDS),Obsolete,CWE-116;CWE-134;CWE-144;CWE-150;CWE-180;CWE-182;CWE-289;CWE-409;CWE-625;CWE-647;CWE-78;CWE-838
Category-846,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 3 - Declarations and Initialization (DCL),Obsolete,CWE-665
Category-847,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 4 - Expressions (EXP),Obsolete,CWE-252;CWE-479;CWE-595;CWE-597
Category-848,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 5 - Numeric Types and Operations (NUM),Obsolete,CWE-197;CWE-369;CWE-681
Category-849,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 6 - Object Orientation (OBJ),Obsolete,CWE-374;CWE-375;CWE-486;CWE-491;CWE-492;CWE-493;CWE-498;CWE-500;CWE-582;CWE-766
Category-850,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 7 - Methods (MET),Obsolete,CWE-487;CWE-568;CWE-573;CWE-581;CWE-583;CWE-586;CWE-589;CWE-617
Category-851,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 8 - Exceptional Behavior (ERR),Obsolete,CWE-209;CWE-230;CWE-232;CWE-248;CWE-382;CWE-390;CWE-395;CWE-397;CWE-460;CWE-497;CWE-584;CWE-600;CWE-690;CWE-703;CWE-705
Category-852,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 9 - Visibility and Atomicity (VNA),Obsolete,CWE-362;CWE-366;CWE-413;CWE-567;CWE-662;CWE-667
Category-853,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 10 - Locking (LCK),Obsolete,CWE-412;CWE-413;CWE-609;CWE-667;CWE-820;CWE-833
Category-854,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 11 - Thread APIs (THI),Obsolete,CWE-572;CWE-705
Category-855,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 12 - Thread Pools (TPS),Obsolete,CWE-392;CWE-405;CWE-410
Category-856,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 13 - Thread-Safety Miscellaneous (TSM),Obsolete,
Category-857,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 14 - Input Output (FIO),Obsolete,CWE-135;CWE-198;CWE-276;CWE-279;CWE-359;CWE-377;CWE-404;CWE-405;CWE-459;CWE-532;CWE-67;CWE-732;CWE-770
Category-858,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 15 - Serialization (SER),Obsolete,CWE-250;CWE-319;CWE-400;CWE-499;CWE-502;CWE-589;CWE-770
Category-859,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 16 - Platform Security (SEC),Obsolete,CWE-111;CWE-266;CWE-272;CWE-300;CWE-302;CWE-319;CWE-347;CWE-470;CWE-494;CWE-732;CWE-807
Category-860,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 17 - Runtime Environment (ENV),Obsolete,CWE-349;CWE-732
Category-861,The CERT Oracle Secure Coding Standard for Java (2011) Chapter 18 - Miscellaneous (MSC),Obsolete,CWE-259;CWE-311;CWE-330;CWE-332;CWE-333;CWE-336;CWE-337;CWE-400;CWE-401;CWE-543;CWE-770;CWE-798
Category-864,2011 Top 25 - Insecure Interaction Between Components,Obsolete,CWE-352;CWE-434;CWE-601;CWE-78;CWE-79;CWE-829;CWE-89
Category-865,2011 Top 25 - Risky Resource Management,Obsolete,CWE-120;CWE-131;CWE-134;CWE-190;CWE-22;CWE-494;CWE-676
Category-866,2011 Top 25 - Porous Defenses,Obsolete,CWE-250;CWE-306;CWE-307;CWE-311;CWE-327;CWE-732;CWE-759;CWE-798;CWE-807;CWE-862;CWE-863
Category-867,2011 Top 25 - Weaknesses On the Cusp,Obsolete,CWE-129;CWE-209;CWE-212;CWE-330;CWE-362;CWE-456;CWE-476;CWE-681;CWE-754;CWE-770;CWE-772;CWE-805;CWE-822;CWE-825;CWE-838;CWE-841
Category-869,CERT C++ Secure Coding Section 01 - Preprocessor (PRE),Incomplete,
Category-870,CERT C++ Secure Coding Section 02 - Declarations and Initialization (DCL),Incomplete,
Category-871,CERT C++ Secure Coding Section 03 - Expressions (EXP),Incomplete,CWE-476;CWE-480;CWE-768
Category-872,CERT C++ Secure Coding Section 04 - Integers (INT),Incomplete,CWE-129;CWE-190;CWE-192;CWE-197;CWE-20;CWE-369;CWE-466;CWE-587;CWE-606;CWE-676;CWE-681;CWE-682
Category-873,CERT C++ Secure Coding Section 05 - Floating Point Arithmetic (FLP),Incomplete,CWE-369;CWE-681;CWE-682;CWE-686
Category-874,CERT C++ Secure Coding Section 06 - Arrays and the STL (ARR),Incomplete,CWE-119;CWE-129;CWE-467;CWE-469;CWE-665;CWE-805
Category-875,CERT C++ Secure Coding Section 07 - Characters and Strings (STR),Incomplete,CWE-119;CWE-120;CWE-170;CWE-193;CWE-464;CWE-686;CWE-704;CWE-78;CWE-88
Category-876,CERT C++ Secure Coding Section 08 - Memory Management (MEM),Incomplete,CWE-119;CWE-128;CWE-131;CWE-190;CWE-20;CWE-226;CWE-244;CWE-252;CWE-391;CWE-404;CWE-415;CWE-416;CWE-476;CWE-528;CWE-590;CWE-591;CWE-665;CWE-687;CWE-690;CWE-703;CWE-754;CWE-762;CWE-770;CWE-822
Category-877,CERT C++ Secure Coding Section 09 - Input Output (FIO),Incomplete,CWE-119;CWE-134;CWE-22;CWE-241;CWE-276;CWE-279;CWE-362;CWE-367;CWE-37;CWE-379;CWE-38;CWE-39;CWE-391;CWE-403;CWE-404;CWE-41;CWE-552;CWE-59;CWE-62;CWE-64;CWE-65;CWE-67;CWE-675;CWE-676;CWE-73;CWE-732;CWE-770
Category-878,CERT C++ Secure Coding Section 10 - Environment (ENV),Incomplete,CWE-119;CWE-426;CWE-462;CWE-705;CWE-78;CWE-807;CWE-88
Category-879,CERT C++ Secure Coding Section 11 - Signals (SIG),Incomplete,CWE-479;CWE-662
Category-880,CERT C++ Secure Coding Section 12 - Exceptions and Error Handling (ERR),Incomplete,CWE-209;CWE-390;CWE-391;CWE-460;CWE-497;CWE-544;CWE-703;CWE-705;CWE-754;CWE-755
Category-881,CERT C++ Secure Coding Section 13 - Object Oriented Programming (OOP),Incomplete,
Category-882,CERT C++ Secure Coding Section 14 - Concurrency (CON),Incomplete,CWE-362;CWE-366;CWE-404;CWE-488;CWE-772
Category-883,CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),Incomplete,CWE-116;CWE-14;CWE-176;CWE-20;CWE-327;CWE-330;CWE-480;CWE-482;CWE-561;CWE-563;CWE-570;CWE-571;CWE-697;CWE-704
Category-885,SFP Primary Cluster: Risky Values,Incomplete,CWE-998
Category-886,SFP Primary Cluster: Unused entities,Incomplete,CWE-482;CWE-561;CWE-563
Category-887,SFP Primary Cluster: API,Incomplete,CWE-1001
Category-889,SFP Primary Cluster: Exception Management,Incomplete,CWE-960;CWE-961;CWE-962
Category-890,SFP Primary Cluster: Memory Access,Incomplete,CWE-970;CWE-971;CWE-972;CWE-973;CWE-974
Category-891,SFP Primary Cluster: Memory Management,Incomplete,CWE-969
Category-892,SFP Primary Cluster: Resource Management,Incomplete,CWE-982;CWE-983;CWE-984;CWE-985
Category-893,SFP Primary Cluster: Path Resolution,Incomplete,CWE-979;CWE-980;CWE-981
Category-894,SFP Primary Cluster: Synchronization,Incomplete,CWE-986;CWE-987;CWE-988;CWE-989
Category-895,SFP Primary Cluster: Information Leak,Incomplete,CWE-963;CWE-964;CWE-965;CWE-966;CWE-967
Category-896,SFP Primary Cluster: Tainted Input,Incomplete,CWE-990;CWE-991;CWE-992;CWE-993;CWE-994
Category-897,SFP Primary Cluster: Entry Points,Incomplete,CWE-1002
Category-898,SFP Primary Cluster: Authentication,Incomplete,CWE-947;CWE-948;CWE-949;CWE-950;CWE-951;CWE-952;CWE-953;CWE-954;CWE-955
Category-899,SFP Primary Cluster: Access Control,Incomplete,CWE-944;CWE-945;CWE-946
Category-901,SFP Primary Cluster: Privilege,Incomplete,CWE-250;CWE-266;CWE-267;CWE-268;CWE-269;CWE-270;CWE-271;CWE-272;CWE-274;CWE-520;CWE-653;CWE-9
Category-902,SFP Primary Cluster: Channel,Incomplete,CWE-956;CWE-957
Category-903,SFP Primary Cluster: Cryptography,Incomplete,CWE-958;CWE-959
Category-904,SFP Primary Cluster: Malware,Incomplete,CWE-506;CWE-507;CWE-508;CWE-509;CWE-510;CWE-511;CWE-512;CWE-69;CWE-968
Category-905,SFP Primary Cluster: Predictability,Incomplete,CWE-330;CWE-331;CWE-332;CWE-333;CWE-334;CWE-335;CWE-336;CWE-337;CWE-338;CWE-339;CWE-340;CWE-341;CWE-342;CWE-343;CWE-344
Category-906,SFP Primary Cluster: UI,Incomplete,CWE-995;CWE-996;CWE-997
Category-907,SFP Primary Cluster: Other,Incomplete,CWE-975;CWE-976;CWE-977;CWE-978
Category-929,OWASP Top Ten 2013 Category A1 - Injection,Obsolete,CWE-74;CWE-77;CWE-78;CWE-88;CWE-89;CWE-90;CWE-91;CWE-643;CWE-652
Category-930,OWASP Top Ten 2013 Category A2 - Broken Authentication and Session Management,Obsolete,CWE-256;CWE-287;CWE-311;CWE-384;CWE-522;CWE-523;CWE-613;CWE-620;CWE-640
Category-931,OWASP Top Ten 2013 Category A3 - Cross-Site Scripting (XSS),Obsolete,CWE-79
Category-932,OWASP Top Ten 2013 Category A4 - Insecure Direct Object References,Obsolete,CWE-22;CWE-99;CWE-639;CWE-706
Category-933,OWASP Top Ten 2013 Category A5 - Security Misconfiguration,Obsolete,CWE-2;CWE-16;CWE-209;CWE-215;CWE-548
Category-934,OWASP Top Ten 2013 Category A6 - Sensitive Data Exposure,Obsolete,CWE-311;CWE-312;CWE-319;CWE-320;CWE-325;CWE-326;CWE-327;CWE-328
Category-935,OWASP Top Ten 2013 Category A7 - Missing Function Level Access Control,Obsolete,CWE-285
Category-936,OWASP Top Ten 2013 Category A8 - Cross-Site Request Forgery (CSRF),Obsolete,CWE-352
Category-937,OWASP Top Ten 2013 Category A9 - Using Components with Known Vulnerabilities,Obsolete,
Category-938,OWASP Top Ten 2013 Category A10 - Unvalidated Redirects and Forwards,Obsolete,CWE-601
Category-944,SFP Secondary Cluster: Access Management,Incomplete,CWE-282;CWE-283;CWE-284;CWE-286;CWE-708
Category-945,SFP Secondary Cluster: Insecure Resource Access,Incomplete,CWE-285;CWE-424;CWE-639;CWE-650
Category-946,SFP Secondary Cluster: Insecure Resource Permissions,Incomplete,CWE-276;CWE-277;CWE-278;CWE-279;CWE-281;CWE-560;CWE-732
Category-947,SFP Secondary Cluster: Authentication Bypass,Incomplete,CWE-287;CWE-288;CWE-289;CWE-303;CWE-304;CWE-305;CWE-308;CWE-309;CWE-603
Category-948,SFP Secondary Cluster: Digital Certificate,Incomplete,CWE-296;CWE-297;CWE-298;CWE-299;CWE-593;CWE-599
Category-949,SFP Secondary Cluster: Faulty Endpoint Authentication,Incomplete,CWE-293;CWE-302;CWE-345;CWE-346;CWE-350;CWE-360;CWE-551;CWE-565;CWE-647
